Year,Month,Species (Scientific),Species (Common),Condition,Price / kg (USD),Price / lb (USD),Price / Buche (USD),Total Value (USD),Total Volume (kg),Total Volume (lbs),Buche Count,Location (Country),Location (City/Other),Source,Notes
2015,,Cynoscion acoupa,Acoupa weakfish,Dry,522,,,,,,,China,Guangzhou,Jing et al. 2015,
2015,,Hemiarius dioctes,Warrior catfish,Dry,978,,,,,,,China,Guangzhou,Jing et al. 2015,
2015,,Cynoscion acoupa,Acoupa weakfish,Dry,522,,,,,,,China,Guangzhou,Jing et al. 2015,
2015,,Cynoscion acoupa,Acoupa weakfish,Dry,652,,,,,,,China,Guangzhou,Jing et al. 2015,
2015,,Cynoscion acoupa,Acoupa weakfish,Dry,782,,,,,,,China,Guangzhou,Jing et al. 2015,
2015,,Congesox talabonoides,Indian pike conger,Dry,522,,,,,,,China,Guangzhou,Jing et al. 2015,
2015,,Congesox talabonoides,Indian pike conger,Dry,782,,,,,,,China,Guangzhou,Jing et al. 2015,
2015,,Lates niloticus,Nile perch,Dry,261,,,,,,,China,Guangzhou,Jing et al. 2015,
2015,,Lates niloticus,Nile perch,Dry,156,,,,,,,China,Guangzhou,Jing et al. 2015,
2015,,Lates niloticus,Nile perch,Dry,222,,,,,,,China,Guangzhou,Jing et al. 2015,
2015,,Lates niloticus,Nile perch,Dry,156,,,,,,,China,Guangzhou,Jing et al. 2015,
2015,,Protonibea diacanthus,Blackspotted croaker,Dry,156,,,,,,,China,Guangzhou,Jing et al. 2015,
2015,,Sciades parkeri,Gillbacker sea catfish,Dry,179,,,,,,,China,Guangzhou,Jing et al. 2015,
2015,,Sciades proops,Crucifix sea catfish,Dry,91,,,,,,,China,Guangzhou,Jing et al. 2015,
2015,,Sciades proops,Crucifix sea catfish,Dry,117,,,,,,,China,Guangzhou,Jing et al. 2015,
2007,September - January '08,Unidentified,Unidentified,Dry,40,,,,,,,China,"Sai Ying Pun, Hong Kong","Tuuli et al., 2016","Each species group identified by Tuuli et al. is listed twice - once for a low price, once for a high price. Specimen count varies."
2007,September - January '08,Unidentified,Unidentified,Dry,90,,,,,,,China,"Sai Ying Pun, Hong Kong","Tuuli et al., 2016","Each species group identified by Tuuli et al. is listed twice - once for a low price, once for a high price. Specimen count varies."
2007,September - January '08,Cynoscion acoupa,Acoupa weakfish,Dry,500,,,,,,,China,"Sai Ying Pun, Hong Kong","Tuuli et al., 2016","Each species group identified by Tuuli et al. is listed twice - once for a low price, once for a high price. Specimen count varies."
2007,September - January '08,Cynoscion acoupa,Acoupa weakfish,Dry,800,,,,,,,China,"Sai Ying Pun, Hong Kong","Tuuli et al., 2016","Each species group identified by Tuuli et al. is listed twice - once for a low price, once for a high price. Specimen count varies."
2007,September - January '08,Otolithoides biauritus,Bronze croaker,Dry,1800,,,,,,,China,"Sai Ying Pun, Hong Kong","Tuuli et al., 2016","Each species group identified by Tuuli et al. is listed twice - once for a low price, once for a high price. Specimen count varies."
2007,September - January '08,Otolithoides biauritus,Bronze croaker,Dry,3000,,,,,,,China,"Sai Ying Pun, Hong Kong","Tuuli et al., 2016","Each species group identified by Tuuli et al. is listed twice - once for a low price, once for a high price. Specimen count varies."
2007,September - January '08,Lates niloticus,Nile perch,Dry,120,,,,,,,China,"Sai Ying Pun, Hong Kong","Tuuli et al., 2016","Each species group identified by Tuuli et al. is listed twice - once for a low price, once for a high price. Specimen count varies."
2007,September - January '08,Lates niloticus,Nile perch,Dry,180,,,,,,,China,"Sai Ying Pun, Hong Kong","Tuuli et al., 2016","Each species group identified by Tuuli et al. is listed twice - once for a low price, once for a high price. Specimen count varies."
2000,,All,All,Dry,20,,,,,,,China,Hong Kong,Clarke 2002,Low extreme.
2000,,All,All,Dry,2200,,,,,,,China,Hong Kong,Clarke 2002,High extreme.
2005,,Cynoscion othonopterus,Curvina golfina,Wet,0.7166,,,,,,,Mexico,Upper Gulf,EDF 2014,MXN-USD 31/12/2011.
2007,,Cynoscion othonopterus,Curvina golfina,Wet,1.7915,,,,,,,Mexico,Upper Gulf,EDF 2014,MXN-USD 31/12/2011.
2011,,Cynoscion othonopterus,Curvina golfina,Wet,7.166,,,,,,,Mexico,Upper Gulf,EDF 2014,MXN-USD 31/12/2011.
2012,,Cynoscion othonopterus,Curvina golfina,Wet,11.03564,,,,,,,Mexico,Upper Gulf,EDF 2014,MXN-USD 31/12/2011.
2013,,Cynoscion othonopterus,Curvina golfina,Wet,11.60892,,,,,,,Mexico,Upper Gulf,EDF 2014,MXN-USD 31/12/2011.
2014,,Cynoscion othonopterus,Curvina golfina,Wet,15.4069,,,,,,,Mexico,Upper Gulf,EDF 2014,MXN-USD 31/12/2011.
2015,,Cynoscion othonopterus,Curvina golfina,Wet,19.49152,,,,,,,Mexico,Upper Gulf,EDF 2015,MXN-USD 31/12/2011.
2016,,Cynoscion othonopterus,Curvina golfina,Wet,23.560292,,,,,,,Mexico,Upper Gulf,EDF 2016,MXN-USD 31/12/2016.
