Year,Month,Price (USD/kg),Price (USD/g),Price (per lb.),Price (per buche local),Price (per buche Asia),Total Value (USD),Mass/Buche (kg),Mass (kg.),Number of buche,Condition (Inferred),Condition (Inferred),Condition,Country,Source
2013,,,,,,,,,13.61,,Wet,Wet,,United States,CBP
2013,,,,,,,,0.60,102.06,169,Wet,Wet,,United States,CBP
2013,,,,,"5,000.00","10,000.00","3,600,000.00",,,241,Wet,Wet,,United States,CBP
2013,,,,,,,"5,000,000.00",,239.95,,Wet,Wet,,United States,CBP
2015,July,,,,"10,500.00",,,,602.00,,Wet,Wet,,United States,CBP
2013,April,,,,,,,,,241,Wet,Wet,,United States,CBP
2013,February,,,,,,,0.44,219.08,500,Wet,Wet,,United States,CBP
2013,February,,,,"1,650.00",,,,,170,Wet,Wet,,United States,CBP
2013,February,,,,,,,,,11,Wet,Wet,,United States,CBP
2014,March,,,,,,,1.37,8.20,6,Wet,Wet,Wet,Mexico,C4ADS
2015,April,"5,000.00",5.00,,,,"127,500.00",0.28,25.50,90,Wet,Wet,,Mexico,C4ADS
2015,September,,,,,,,,22.18,,Wet,Wet,,Mexico,C4ADS
2016,December,,,,,,,,,3,Wet,Wet,Wet,Mexico,C4ADS
2016,February,,,,,,,,,6,Wet,Wet,Wet,Mexico,C4ADS
2016,March,,,,,,"150,000.00",0.32,39.00,121,Wet,Wet,Wet,Mexico,C4ADS
2015,March,,,,,,,0.68,23.00,34,Wet,Wet,Wet,Mexico,C4ADS
2016,May,,,,,,,,,11,Wet,Wet,Wet,Mexico,C4ADS
2017,March,,,,,,,,,9,Wet,Wet,Wet,Mexico,C4ADS
2017,March,,,,,,,0.71,17.00,24,Wet,Wet,Wet,Mexico,C4ADS
2013,,,,,,,"2,800,000.00",,,560,Wet,Dry,Dry,United States,C4ADS
2014,April,,,,,,,,2.74,,Wet,Dry,Dry,Mexico,C4ADS
2013,May,,,,,,,,142.80,,Wet,Dry,Dry,Mexico,C4ADS
2015,August,,,,,,,0.21,0.64,3,Dry,Dry,Dry,China,C4ADS
2015,July,,,,,,,0.13,34.78,274,Wet,Dry,Dry,Mexico,C4ADS
2014,November,,,,,,,,,385,Wet,Dry,Dry,Mexico,C4ADS
2013,January,,,,,,,,,,Wet,Wet,,Mexico,EIA
2013,January,,,,,,,,,,Wet,Wet,,Mexico,EIA
2013,February,,,,,,,,,,Wet,Wet,,Mexico,EIA
2013,February,,,,,,,,,11,Wet,Wet,,United States,EIA
2013,March,,,,,,,,,169,Wet,Wet,,United States,EIA
2013,April,,,,,,,0.57,16.02,28,Wet,Wet,Wet,United States,EIA
2013,April,,,,,,,,,241,Wet,Wet,,United States,EIA
2013,May,,,,,,,,,,Wet,Wet,,Mexico,EIA
2013,August,,,,,,,,,9,Wet,Wet,,Mexico,EIA
2013,September,,,,,,,,,12,Dry,Dry,,Hong Kong,EIA
2013,October,,,,,,,,,169,Wet,Wet,,United States,EIA
2013,October,,,,,,,,,58,Wet,Wet,,United States,EIA
2013,November,,,,,,,,0.40,,Wet,Wet,,Mexico,EIA
2014,January,,,,,,,,,2,Dry,Dry,,Hong Kong,EIA
2014,March,,,,,,,,,,Wet,Wet,,United States,EIA
2014,April,,,,,,,,,241,Wet,Wet,,United States,EIA
2014,March,,,,,,,,,8.2,Wet,Wet,,Mexico,EIA
2014,April,,,,,,,,,1,Wet,Wet,,Mexico,EIA
2014,April,,,,,,,,2.76,,Wet,Wet,,Mexico,EIA
2014,August,,,,,,,0.68,23.00,34,Wet,Wet,Wet,Mexico,EIA
2014,August,,,,,,,,,3,Wet,Wet,,Mexico,EIA
2014,November,,,,,,,,,385,Wet,Wet,,Mexico,EIA
2015,January,,,,,,,,,2,Wet,Wet,,Mexico,EIA
2015,March,,,,,,,,,86,Wet,Wet,,Mexico,EIA
2015,May,,,,,,,,,,Wet,Wet,,Mexico,EIA
2015,May,,,,,,,,,14,Dry,Dry,,Hong Kong,EIA
2015,July,,,,,,,0.13,34.78,274,Wet,Wet,,Mexico,EIA
2015,August,,,,,,,,,,Wet,Wet,,Mexico,EIA
2015,August,,,,,,,0.21,0.64,3,Dry,Dry,,Hong Kong,EIA
2015,September,,,,,,,,22.00,,Wet,Wet,,Mexico,EIA
2015,October,,,,,,,,,58,Wet,Wet,,United States,EIA
2015,December,,,,,,,,,14,Dry,Dry,,Hong Kong,EIA
2016,February,,,,,,,,,6,Wet,Wet,,Mexico,EIA
2016,February,,,,,,,0.12,7.10,61,Wet,Wet,,Mexico,EIA
2016,March,,,,,,,0.32,39.00,121,Wet,Wet,,Mexico,EIA
2016,April,,,,,,,,,,Wet,Wet,,Mexico,EIA
2016,April,,,,,,,,4.00,,Wet,Wet,,Mexico,EIA
2016,December,,,,,,,,,3,Wet,Wet,,Mexico,EIA
2016,December,,,,,,,,,,Wet,Wet,,Mexico,EIA
2016,December,,,,,,,1.40,1.40,1,Wet,Wet,Wet,Mexico,EIA
2017,January,,,,,,,,,1,Wet,Wet,,Mexico,EIA
2017,January,,,,,,,0.20,2.80,14,Wet,Wet,,Mexico,EIA
2017,February,,,,,,,,,,Wet,Wet,,Mexico,EIA
2017,February,,,,,,,,,,Wet,Wet,,Mexico,EIA
2017,February,,,,,,,,,1,Wet,Wet,,Mexico,EIA
2017,February,,,,,,,,,,Wet,Wet,,Mexico,EIA
2017,March,,,,,,,,,24,Wet,Wet,,Mexico,EIA
2017,March,,,,,,,,,,Wet,Wet,,Mexico,EIA
2017,March,,,,,,,,,,Wet,Wet,,Mexico,EIA
2017,April,,,,,,,,,,Wet,Wet,,Mexico,EIA
2017,April,,,,,,,,,,Wet,Wet,,Mexico,EIA
2017,April,,,,,,,,,,Wet,Wet,,Mexico,EIA
2017,April,,,,,,,,,,Wet,Wet,,Mexico,EIA
2017,April,,,,,,,,,,Wet,Wet,,Mexico,EIA
2017,July,,,,,,,0.07,26.00,375,Wet,Wet,,Mexico,EIA
2017,October,,,,,,,7.00,70.00,10,Wet,Wet,Wet,Mexico,EIA
2017,December,,,,,,,,0.00,0,Wet,Wet,,Mexico,EIA
2018,January,,,,,,,,28.00,,Dry,Dry,,Hong Kong,EIA
2018,February,,,,,,,1.75,7.00,4,Wet,Wet,Wet,Mexico,EIA
2018,February,,,,,,,,,,Wet,Wet,,Mexico,EIA
2018,February,,,,,,,0.35,30.50,87,Wet,Wet,,Mexico,EIA
2018,March,,,,,,,,,1,Wet,Wet,,Mexico,EIA
2018,March,,,,,,,0.49,10.83,22,Wet,Wet,,Mexico,EIA
