"","t","c/n0","r/n0"
"1",1,106.452906550101,48.5807632137556
"2",2,485.764762601293,949.189600220151
"3",3,1207.70406917833,3124.25878359354
"4",4,2085.02432060709,6753.49423048033
"5",5,2976.86327155617,11349.146723157
"6",6,3796.44969253525,16248.0723482084
"7",7,4503.88665059587,20938.9148072015
"8",8,5089.85261650989,25122.8196958305
"9",9,5561.71970734429,28677.3063886242
"10",10,5934.27215356101,31595.5179484879
"11",11,6224.2943089919,33933.4664204263
"12",12,6447.77886911626,35773.664977408
"13",13,6618.71480046974,37203.4793543577
"14",14,6783.47815971939,38308.3017079773
"15",15,6948.12127686783,39153.129198981
"16",16,7113.66635331504,39795.4352081069
