"","t","c","r","p0","w0","n0","h","rt0","nt0"
"1",1,564459.252224786,1749191.97668866,6587.7594701348,0.971513617267012,54759.7822633313,0,0,0
"2",2,1338000,9423257.10439276,10227.1774418784,3.56684197141324,44857.6082939289,0,216242.286406315,9327.03055788275
"3",3,1338000,13358448.2249788,13835.0379545603,8.0040833854642,19989.7967443177,0,1270340.31598515,24417.1583775534
"4",4,281239.848918235,15167270.422257,17690.93170489,14.0312145610097,11403.1468412301,1,764888.282432177,8386.66673241385
"5",5,558359.081276042,2020211.29649378,6306.14834378042,0.971513617267012,54759.7822633313,0,0,0
"6",6,1338000,9423257.10439276,10227.1774418784,3.56684197141324,44857.6082939289,0,216242.286406315,9327.03055788275
"7",7,1338000,13358448.2249788,13835.0379545603,8.0040833854642,19989.7967443177,0,1270340.31598515,24417.1583775534
"8",8,281239.848918235,15167270.422257,17690.93170489,14.0312145610097,11403.1468412301,1,764888.282432177,8386.66673241385
"9",9,558359.081276042,2020211.29649378,6306.14834378042,0.971513617267012,54759.7822633313,0,0,0
"10",10,1338000,9423257.10439276,10227.1774418784,3.56684197141324,44857.6082939289,0,216242.286406315,9327.03055788275
