"","a","w_slow","w_fast"
"1",0,0.0602486263783594,0.197042689799585
"2",1,0.971513617267012,2.84449890514533
"3",2,3.56684197141324,9.4202742801305
"4",3,8.0040833854642,19.2105670718508
"5",4,14.0312145610097,30.8264209525611
"6",5,21.2256852576619,42.9875532149873
"7",6,29.1385726603286,54.7698695084364
"8",7,37.3682149245903,65.6111204936187
"9",8,45.5899289412009,75.2337311453079
"10",9,53.5610662920084,83.5558488066431
"11",10,61.1137226154486,90.6166532063089
"12",11,68.142402068538,96.5217304056743
"13",12,74.5906638581295,101.406483454548
"14",13,80.4387665535315,105.413365332219
"15",14,85.6931541612029,108.678809076042
"16",15,90.3779849032435,111.326549175021
"17",16,94.5285796780758,113.464931918757
"18",17,98.1865277448146,115.186573516049
"19",18,101.396149019452,116.569295925904
"20",19,104.202025704397,117.677671348255
"21",20,106.647352078342,118.564775342679
"22",21,108.772894350746,119.273922620286
"23",22,110.616394423498,119.840268530656
"24",23,112.212288521659,120.292225133541
"25",24,113.591642722777,120.652678871191
"26",25,114.782232465409,120.940017599467
"27",26,115.808712777044,121.168984887604
"28",27,116.692841066093,121.351383411276
